class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.1	1395	951	1414	971	false	false	
1.11.2	1397	913	1422	936	false	false	
2.1	1442	816	1496	869	false	false	
4.4.2	1613	930	1646	963	false	false	
5.19.2	1224	967	1237	979	false	false	
5.19.2	1251	970	1260	979	false	false	
1.34.2	1289	977	1323	987	false	false	
5.19.2	1041	933	1061	953	false	false	
5.19.2	922	938	949	966	false	false	
5.19.1	1451	918	1485	953	false	false	
8.13	1449	870	1489	909	false	false	
4.4.1	1496	950	1516	970	false	false	
5.19.1	1383	964	1394	979	false	true	
