class	xtl	ytl	xbr	ybr	temporary	occluded	data
2.1	1408	946	1429	968	false	false	
8.4.1	0	812	21	852	false	true	12 т без пропуска
8.5.4	0	857	22	895	false	true	6.00 - 22.00
6.9.1	1248	951	1277	967	false	false	NA
8.1.1	0	905	23	937	false	true	250 м
3.1	0	742	16	805	false	true	
7.5	1453	959	1465	976	false	false	5 м
NA	1566	924	1590	961	false	false	50 м
8.1.1	1823	845	1907	887	false	false	250 м
8.5.4	1825	799	1909	840	false	false	6.00 - 22.00
8.4.1	1823	749	1908	794	false	false	12 т без пропуска
6.9.2	1263	836	1333	890	false	false	М9 Псков М3 Калуга МКАД
3.1	1820	666	1901	748	false	false	
