class	xtl	ytl	xbr	ybr	temporary	occluded	data
4.4.1	1557	952	1566	963	false	false	
5.19.2	1555	966	1567	978	false	false	
5.19.1	1251	956	1263	968	false	false	
6.3.1	1475	957	1486	969	false	false	
3.27	1694	898	1734	937	false	false	
5.19.1	1342	958	1351	970	false	false	
5.16	1681	934	1699	962	false	true	
5.16	457	922	478	956	false	false	
5.19.2	839	850	905	928	false	false	
8.5.2	1694	938	1735	958	false	false	
5.19.1	211	707	260	841	false	false	
4.4.1	841	753	916	829	false	false	
8.2.1	2052	912	2135	955	false	false	100 м
5.19.1	2411	835	2448	943	false	true	
1.23	2042	735	2136	821	false	false	
3.24	2052	830	2133	910	false	false	30
5.14	1698	863	1733	895	false	false	
5.19.2	1475	942	1486	954	false	false	
4.1.5	208	567	260	686	false	false	
2.4	193	415	265	560	false	false	
3.24	1658	934	1677	953	false	false	20
5.20	1659	920	1677	934	false	false	
5.19.1	1681	961	1696	974	false	true	
5.19.1	1353	949	1365	961	false	false	
3.1	1353	934	1365	946	false	false	
