class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.24	1092	904	1124	923	false	false	
3.27	1094	873	1127	905	false	false	
5.19.1	1163	870	1195	905	false	false	
2.1	1456	803	1551	897	false	false	
5.19.1	1466	916	1532	982	false	false	
5.19.1	532	906	544	924	false	true	
5.19.2	30	857	60	906	false	false	
5.19.2	521	840	564	894	false	true	
5.19.2	666	882	696	912	false	false	
4.4.1	32	796	60	845	false	false	
3.27	333	842	350	879	false	false	
8.24	333	881	351	901	false	false	
1.34.3	1211	961	1226	994	false	false	
