class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.24	418	932	432	940	false	false	
1.25	371	927	389	942	true	false	
3.1	777	960	784	980	false	false	
3.24	418	897	434	914	false	false	30
5.19.2	114	907	147	939	false	false	
5.19.2	263	923	284	943	false	false	
4.1.1	372	944	387	959	false	false	
5.19.1	776	936	784	954	false	false	
3.27	418	916	433	931	false	false	
4.1.4	1000	923	1029	950	false	true	
4.1.5	705	923	726	944	false	false	
2.4	704	897	729	921	false	false	
2.4	998	887	1034	921	false	false	
5.19.1	420	944	434	959	false	false	
5.19.1	1174	974	1185	997	false	false	
5.19.1	704	950	724	971	false	false	
5.19.2	95	928	109	945	false	true	
