class	xtl	ytl	xbr	ybr	temporary	occluded	data
4.4.1	1670	928	1708	964	false	true	
1.11.2	1514	873	1556	910	false	false	
5.19.2	946	904	980	939	false	false	
5.19.2	623	891	681	952	false	false	
1.34.2	1325	981	1367	994	false	false	
5.19.1	1521	929	1554	965	false	false	
5.19.1	1854	781	1959	886	false	false	
8.13	1850	650	1963	763	false	false	
2.1	1830	499	1978	647	false	false	
4.4.2	2196	831	2289	923	false	false	
5.19.1	1445	966	1460	981	false	false	
5.19.2	1248	968	1262	984	false	false	
5.19.2	1278	975	1290	987	false	false	
