class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.16	1284	968	1288	979	false	true	
5.19.2	1193	973	1199	979	false	false	
4.4.1	1022	954	1029	961	false	false	
5.19.1	1036	975	1043	982	false	false	
3.1	1108	964	1113	969	false	false	
5.19.1	204	856	257	906	false	false	
5.19.2	396	879	475	956	false	false	
5.19.2	1156	975	1162	981	false	false	
5.19.2	1023	972	1029	979	false	false	
5.19.1	1517	917	1561	961	false	false	
4.4.1	902	859	943	901	false	false	
4.1.5	614	829	653	880	false	false	
6.4	609	769	660	824	false	false	
5.19.1	1270	975	1277	982	false	false	
2.1	1269	963	1277	972	false	false	
