class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.4	959	960	968	969	false	true	
3.4	2093	719	2242	906	false	true	
3.27	1356	866	1390	900	false	false	
8.23	1247	982	1261	988	false	false	
5.31	1249	961	1260	980	false	false	40
6.3.1	2109	527	2251	714	false	false	
5.15.1	1245	945	1264	959	false	false	
4.1.6	1234	959	1246	970	false	false	
5.6	1235	946	1244	957	false	true	
3.27	1088	959	1097	969	false	false	
8.22.3	794	824	844	990	false	false	
4.2.3	783	748	849	814	false	false	
2.5	1587	856	1658	928	false	false	
5.20	1589	775	1660	846	false	false	
8.2.4	1363	921	1381	955	false	false	
4.2.1	186	756	257	821	false	false	
8.24	1356	902	1389	918	false	false	
8.22.1	198	831	245	997	false	false	
5.19.1	512	963	517	974	false	true	
5.16	123	954	129	964	false	true	
