class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.22.3	1242	958	1248	971	false	true	
4.2.2	1300	951	1305	957	false	false	
8.22.2	1300	958	1305	972	false	true	
4.2.3	1241	950	1248	957	false	false	
3.1	1195	939	1198	947	false	true	
1.17	1874	942	1883	953	false	false	
5.19.2	1740	930	1747	940	false	false	
5.16	295	913	316	958	false	false	
4.2.1	1195	948	1198	955	false	true	
8.22.1	1195	957	1197	969	false	true	
3.24	1875	955	1882	963	false	true	20
3.1	2192	965	2199	978	false	true	
5.16	2249	930	2279	973	false	false	
5.20	1300	939	1306	949	false	false	
5.20	1241	939	1248	948	false	false	
8.2.1	1874	965	1879	970	false	true	NA
