class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.1	720	994	727	1000	false	false	
2.1	795	963	806	976	false	false	
2.1	720	985	727	993	false	false	
3.24	1007	970	1024	986	false	false	20
5.16	624	982	630	991	false	false	
5.19.2	641	982	647	989	false	true	
3.27	903	967	915	979	false	false	
2.1	1025	936	1046	957	false	false	
8.24	1309	960	1315	968	false	false	
3.27	1308	943	1316	958	false	false	
8.24	1211	937	1247	953	false	false	
3.27	1210	898	1247	935	false	false	
8.24	900	981	915	987	false	false	
5.20	1007	951	1023	967	false	false	
2.1	671	989	677	995	false	false	
8.13	671	996	677	1001	false	false	
