class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.8.1	1642	892	1655	905	false	false	
3.27	1197	821	1239	863	false	false	
8.24	1199	864	1238	883	false	false	
2.1	1505	40	1672	210	false	false	
4.1.1	1524	220	1644	344	false	false	
3.28	1690	884	1699	896	false	true	
2.1	1288	860	1303	877	false	true	
4.1.4	1291	879	1301	888	false	false	
4.1.1	1076	866	1085	880	false	true	
5.19.1	1101	871	1110	883	false	true	
5.19.2	997	847	1003	857	false	false	
5.19.1	997	862	1004	872	false	false	
4.1.4	943	792	956	806	false	false	
2.1	624	861	635	872	false	false	
5.19.2	603	874	616	880	false	true	
5.19.1	1523	369	1641	500	false	false	
5.19.2	1485	527	1534	615	false	true	
6.16	1707	670	1939	743	false	false	
2.1	1072	845	1091	864	false	true	
4.1.1	755	812	766	823	false	false	
