class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.2	1827	137	1904	313	false	false	
6.8.1	1743	882	1756	896	false	false	
2.1	1359	854	1373	867	false	false	
3.27	1273	771	1324	823	false	false	
5.19.1	1159	859	1168	872	false	true	
2.1	1128	830	1148	850	false	true	
4.1.1	1131	852	1143	868	false	true	
5.19.2	1051	835	1056	845	false	false	
5.19.1	1051	851	1058	861	false	false	
4.1.1	796	796	807	808	false	false	
5.19.2	630	861	643	864	false	true	
2.1	667	849	674	862	false	true	
4.1.4	1362	870	1370	879	false	false	
8.24	1273	825	1324	849	false	false	
4.1.4	989	773	1003	787	false	false	
4.1.1	1655	867	1668	879	false	false	
2.4	1537	854	1546	863	false	false	
