class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.8.1	1983	866	2000	883	false	false	
4.1.1	1857	849	1874	865	false	false	
2.4	1691	843	1698	855	false	true	
3.28	2047	856	2058	874	false	true	
2.1	1490	838	1502	855	false	true	
8.24	1729	437	1904	524	false	false	
2.1	1212	798	1238	824	false	true	
5.19.1	1251	839	1263	856	false	true	
5.19.1	1120	836	1129	848	false	false	
5.19.2	1120	816	1128	829	false	false	
4.1.4	1036	723	1054	741	false	false	
4.1.1	820	771	832	783	false	false	
3.27	1729	254	1901	430	false	false	
4.1.1	1217	827	1232	847	false	true	
4.1.4	1494	859	1499	870	false	true	
2.1	677	837	691	852	false	false	
2.1	286	860	298	870	false	false	
