class	xtl	ytl	xbr	ybr	temporary	occluded	data
2.1	1592	846	1610	869	false	true	
5.19.1	1268	820	1287	849	false	false	
4.1.1	1213	784	1237	817	false	true	
5.19.1	1067	841	1082	860	false	false	
4.1.4	877	583	912	620	false	false	
4.1.1	624	747	641	766	false	false	
2.1	478	861	497	881	false	false	
5.19.2	240	840	250	864	false	true	
2.1	1206	734	1251	779	false	true	
5.19.2	1068	814	1079	832	false	false	
3.27	832	878	850	898	false	false	
8.24	832	899	849	909	false	false	
4.1.1	1596	872	1612	889	false	false	
2.1	55	904	69	918	false	false	
3.27	238	910	250	922	false	false	
6.16	477	935	498	942	false	false	
