class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.5.2	2258	886	2289	902	false	true	
6.4	2153	885	2176	907	false	false	
5.5	2257	852	2289	884	false	false	
3.27	2440	768	2448	786	false	true	
7.3	2207	824	2234	865	false	false	
8.3.1	2152	908	2177	921	false	false	
7.7	2208	868	2237	908	false	false	
3.27	2005	917	2019	929	false	false	
5.5	2005	904	2017	916	false	false	
5.5	2438	714	2448	756	false	true	
5.19.1	2124	109	2194	166	false	false	
3.27	1547	787	1597	837	false	false	
8.24	1548	840	1598	865	false	false	
5.15.1	1058	775	1127	850	false	false	
5.19.2	1544	719	1594	771	false	false	
2.5	1603	945	1616	964	false	true	
