class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.5	1259	912	1269	923	false	false	
3.27	1448	847	1475	874	false	false	
5.5	1448	818	1473	845	false	false	
7.7	1359	898	1377	927	false	false	
8.5.2	1380	914	1400	925	false	false	
5.5	1378	892	1399	912	false	false	
7.3	1358	868	1376	896	false	false	
8.3.1	1332	925	1349	934	false	false	
5.19.1	1559	815	1594	849	false	false	
6.4	1332	908	1348	924	false	false	
8.24	908	881	938	896	false	false	
3.27	908	849	938	879	false	false	
5.19.2	907	807	937	838	false	false	
5.15.1	659	850	688	890	false	false	
5.19.1	1232	504	1270	539	false	false	
8.24	1449	876	1476	888	false	false	
2.5	934	939	941	952	false	true	
