class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.1	1501	972	1517	989	false	false	
8.22.3	1412	993	1420	1004	false	true	
4.2.3	1411	981	1420	991	false	false	
3.1	1119	1004	1128	1015	false	false	
5.15.2	941	334	1011	404	false	false	
5.15.2	1297	882	1311	896	false	false	
5.15.2	1394	875	1408	888	false	false	
5.15.2	1209	886	1222	898	false	false	
8.22.1	1193	982	1204	1015	false	true	
3.1	1177	969	1190	983	false	false	
5.19.2	628	968	634	989	false	false	
4.2.1	1191	967	1203	981	false	false	
5.15.2	1370	319	1439	387	false	false	
5.15.2	484	337	554	407	false	false	
6.6	883	1014	893	1024	false	false	
6.9.1	1481	962	1517	985	false	true	NA
