class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.1	1348	920	1359	932	false	false	
8.2.1	1413	899	1436	909	false	false	50 м
1.23	1411	875	1435	897	false	false	
5.19.1	1224	838	1236	850	false	false	
5.19.2	1003	928	1014	940	false	false	
8.23	1750	949	1813	987	false	false	
2.1	1590	798	1650	859	false	false	
1.23	1740	800	1823	884	false	false	
3.24	1748	887	1814	952	false	false	50
4.1.1	1393	936	1411	954	false	false	
3.24	1412	910	1434	931	false	false	40
7.2	1599	863	1643	931	false	false	
5.16	1356	940	1364	954	false	false	
