class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.22.3	1487	984	1496	1011	false	false	
4.2.3	1485	972	1496	982	false	false	
5.23.1	1290	982	1313	988	false	false	Дубки
5.24.1	1288	991	1317	997	false	false	Акулово
3.1	919	1002	928	1011	false	true	
2.1	1471	975	1485	988	false	false	
6.9.1	1334	945	1385	973	false	false	NA
3.1	1475	931	1512	970	false	false	
4.2.3	1271	960	1286	974	false	false	
8.22.1	895	948	915	1006	false	false	
4.2.1	892	921	914	943	false	false	
3.1	869	923	891	946	false	false	
3.1	836	987	848	1001	false	false	
8.22.3	1272	975	1284	1003	false	true	
5.15.2	1066	717	1104	753	false	false	
5.15.2	871	719	905	754	false	false	
5.15.2	1281	710	1314	743	false	false	
6.6	437	991	452	1007	false	false	
2.4	1452	977	1460	984	false	false	
2.1	1468	995	1475	1004	false	true	
5.19.1	1485	997	1487	1007	false	true	
4.1.1	1474	990	1483	999	false	false	
