class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.2	1076	926	1086	937	false	false	
5.19.2	997	962	1007	973	false	false	
5.15.4	1734	823	1781	870	false	false	
6.10.1	1517	978	1605	1008	false	true	NA
2.1	1471	956	1496	982	false	false	
1.8	1448	968	1473	992	false	false	
5.19.1	1335	918	1347	930	false	false	
6.16	1414	1010	1432	1016	false	false	
5.16	486	973	509	1010	false	false	
5.19.1	1423	954	1434	967	false	false	
5.15.1	1461	933	1499	953	false	false	
3.24	1466	973	1475	988	false	true	50
6.10.1	1519	1010	1539	1023	false	true	ГОРОДОК-7
