class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.3.1	1678	871	1749	907	false	false	
3.4	1676	786	1751	864	false	false	8 т
2.1	2096	582	2262	756	false	false	
6.10.1	1400	2	2379	162	false	false	NA
8.22.1	1079	986	1090	1030	false	false	
5.16	923	1014	932	1028	false	false	
5.16	861	1001	871	1015	false	true	
5.19.2	630	924	654	949	false	false	
3.4	245	933	270	957	false	false	NA
6.16	1516	932	1598	957	false	false	
4.2.1	1076	965	1093	982	false	false	
5.19.1	1203	826	1231	845	false	true	
5.19.2	1562	763	1573	827	false	false	
