class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.2	195	918	207	928	false	false	
8.2.1	1181	1002	1219	1021	false	false	50 м
1.23	1178	955	1223	996	false	false	
5.19.1	475	1009	486	1021	false	false	
5.16	466	989	475	1002	false	true	
5.19.1	391	927	402	938	false	false	
5.19.2	102	993	114	1004	false	false	
6.13	410	1003	421	1009	false	false	35 мосавтодор
5.19.1	323	1001	331	1008	false	false	
5.19.1	277	944	284	950	false	false	
4.2.1	204	992	213	1000	false	false	
8.22.1	205	1001	210	1019	false	false	
5.19.2	79	992	85	1000	false	true	
