class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.2	1484	883	1510	912	false	false	
8.22.3	1416	899	1438	970	false	false	
4.2.3	1413	870	1439	897	false	false	
5.19.1	1316	948	1333	964	false	false	
2.1	1351	887	1381	919	false	false	
2.1	1296	940	1315	960	false	false	
5.16	1230	936	1236	944	false	true	
5.15.5	1188	928	1194	933	false	false	
6.9.1	1059	871	1138	914	false	false	NA
5.24.1	800	887	917	912	false	false	Акулово
5.23.1	814	852	901	876	false	false	Дубки
8.22.3	246	630	354	997	false	false	
4.2.3	2	1190	151	1430	false	true	
3.1	113	950	131	967	false	true	
2.1	1581	890	1636	946	false	false	
4.1.1	1356	923	1377	945	false	false	
8.1.1	1242	933	1252	938	false	false	100 м
4.2.3	225	477	370	623	false	false	
2.4	1241	921	1252	931	false	false	
3.10	363	945	371	953	false	false	
