class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.3.1	1316	951	1327	955	false	false	
2.1	809	945	814	957	false	false	
5.15.5	1517	930	1538	953	false	false	
3.4	1317	939	1325	948	false	false	8 т
5.19.1	1239	898	1251	909	false	false	
2.1	1327	937	1339	950	false	false	
5.19.1	1288	938	1300	950	false	false	
6.10.1	1267	882	1350	898	false	false	NA
5.15.2	1250	772	1273	795	false	false	
5.15.2	1136	780	1158	802	false	false	
5.15.2	1002	785	1026	808	false	false	
5.19.1	736	954	744	964	false	false	
5.19.2	638	953	645	962	false	false	
