class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.16	1512	921	1526	946	false	true	
5.19.2	1024	930	1032	938	false	false	
5.19.2	426	862	452	887	false	false	
5.19.2	615	762	642	787	false	false	
6.10.1	1285	927	1339	953	false	true	NA
5.15.1	1364	934	1392	948	false	false	
8.23	1551	933	1582	948	false	false	
3.24	1549	898	1583	932	false	false	60
5.19.1	1318	727	1346	755	false	false	
5.19.1	1529	826	1558	853	false	false	
8.23	320	971	350	984	false	false	
3.24	319	937	350	969	false	false	60
5.19.1	1226	926	1234	934	false	false	
6.16	1791	911	1869	949	false	true	
5.16	804	969	812	981	false	true	
6.10.1	1296	969	1312	980	false	true	усадьба “Назарьево” “Nazarevo” estate
