class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.2	1075	910	1083	919	false	false	
3.24	1289	909	1298	920	false	true	20
2.1	1232	903	1241	913	false	false	
8.6.1	1430	909	1463	924	false	false	
3.13	1102	857	1123	876	false	false	4,5 м
1.17	1296	873	1318	893	false	false	
1.23	1299	904	1318	922	false	false	
8.2.1	1299	894	1316	900	false	false	350 м
1.23	1950	396	2123	553	false	false	
3.24	1959	625	2112	779	false	false	40
6.4	1430	875	1462	906	false	false	
8.2.1	1300	925	1318	932	false	false	350 м
3.24	1255	910	1262	917	false	false	20
5.20	1220	902	1227	910	false	true	
