class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.2	1002	925	1014	938	false	true	
1.17	1471	752	1531	807	false	false	
8.2.1	1476	810	1527	833	false	false	350 м
1.23	1473	841	1532	896	false	false	
8.2.1	1477	904	1528	928	false	false	350 м
3.13	510	269	660	423	false	false	4,5 м
5.20	1220	930	1230	939	false	false	
2.1	1236	930	1249	944	false	false	
3.24	1276	929	1289	943	false	false	20
4.1.1	1320	924	1328	941	false	true	
3.24	1362	902	1390	930	false	false	20
5.16	905	936	912	940	false	true	
3.27	1221	941	1229	947	false	true	
