class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.1	1659	935	1665	952	false	false	
5.19.2	1476	948	1496	976	false	true	
5.19.1	1469	929	1482	940	false	true	
2.4	1443	897	1471	925	false	false	
3.1	1083	935	1090	951	false	false	
5.19.1	1083	913	1089	929	false	false	
5.19.2	1193	927	1206	942	false	false	
5.19.2	1373	932	1384	943	false	false	
4.4.1	1372	913	1385	926	false	false	
5.19.1	1444	956	1470	983	false	false	
4.1.2	1444	928	1469	953	false	false	
5.19.2	1610	908	1616	924	false	false	
5.19.2	1047	923	1054	940	false	false	
