class	xtl	ytl	xbr	ybr	temporary	occluded	data
4.4.1	1016	863	1027	881	false	false	
5.19.2	534	895	552	920	false	true	
5.19.2	1788	872	1793	894	false	false	
5.19.1	1627	919	1671	964	false	false	
5.19.1	1893	904	1900	931	false	false	
5.19.2	1671	910	1705	961	false	true	
4.1.2	1629	872	1674	917	false	false	
5.19.2	1207	892	1228	912	false	false	
5.19.1	1594	895	1617	919	false	true	
2.4	1626	822	1679	871	false	false	
4.4.1	1440	882	1457	900	false	false	
5.19.2	1017	887	1025	905	false	false	
5.19.2	1441	906	1454	921	false	false	
5.19.1	1056	868	1066	890	false	false	
3.1	1055	898	1066	921	false	false	
5.19.1	1299	900	1308	917	false	false	
