class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.2	1748	889	1753	909	false	false	
5.19.1	1578	938	1616	977	false	false	
5.19.2	1217	909	1236	928	false	false	
5.19.1	1835	919	1842	944	false	false	
5.19.2	1617	928	1649	971	false	true	
4.1.2	1581	898	1619	936	false	false	
5.19.1	1569	911	1583	933	false	true	
2.4	1578	853	1624	895	false	false	
4.4.1	1434	897	1451	914	false	false	
5.19.2	1040	906	1047	923	false	false	
5.19.2	1435	920	1448	934	false	false	
5.19.1	1079	889	1087	909	false	false	
3.1	1077	916	1088	937	false	false	
5.19.2	606	916	622	938	false	true	
4.4.1	1038	883	1049	901	false	false	
