class	xtl	ytl	xbr	ybr	temporary	occluded	data
2.2	1953	675	2173	889	false	false	
5.7.1	1455	858	1525	882	false	false	
2.4	1463	886	1517	933	false	false	
1.34.3	1448	978	1477	995	false	true	
5.19.1	1466	936	1512	983	false	false	
6.16	1383	972	1446	994	false	false	
3.1	1328	941	1344	956	false	true	
5.7.2	1253	941	1281	951	false	false	
2.4	1257	953	1276	970	false	false	
5.19.2	437	939	475	977	false	false	
5.15.7	1318	957	1363	979	false	false	
3.24	1195	899	1201	914	false	false	NA
8	1195	915	1201	923	false	false	
