class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.1	1711	885	1718	908	false	false	
2.1	90	972	122	1005	false	false	
5.16	322	832	358	883	false	false	
5.19.2	885	928	900	941	false	false	
5.16	1168	914	1180	933	false	false	
5.19.1	1211	918	1225	934	false	false	
2.1	1336	824	1375	863	false	false	
6.10.1	1429	878	1562	900	false	false	Марфино
5.15.1	1353	903	1395	934	false	false	
5.19.2	23	998	40	1015	false	false	
3.1	26	1019	40	1037	false	false	
4.1.5	99	1008	117	1028	false	false	
5.19.1	78	1016	92	1037	false	false	
6.16	1207	935	1229	942	false	false	
5.19.2	1824	889	1834	907	false	false	
5.19.2	1989	874	2008	892	false	false	
