class	xtl	ytl	xbr	ybr	temporary	occluded	data
4.4.1	2333	628	2393	724	false	false	
4.1.5	837	608	921	693	false	false	
8.24	549	804	582	820	false	false	
5.19.2	2328	744	2394	839	false	false	
5.19.2	1549	813	1562	855	false	false	
5.19.2	1187	710	1210	773	false	false	
5.19.1	839	715	923	801	false	false	
2.4	826	509	928	598	false	false	
4.4.1	766	797	792	827	false	false	
5.19.1	552	828	583	858	false	false	
3.27	548	769	581	801	false	false	
3.24	545	732	581	768	false	false	30
4.1.1	504	836	533	864	false	false	
1.25	496	799	536	834	true	false	
3.1	1190	785	1207	846	false	false	
