class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.20	1418	860	1484	928	false	false	
5.19.2	1016	1009	1028	1022	false	false	
5.19.1	1183	1004	1188	1008	false	true	
3.24	1256	969	1285	998	false	false	30
1.11.2	1253	938	1289	968	false	false	
5.19.1	1480	945	1489	969	false	true	
5.20	1189	996	1202	1009	false	false	
3.24	1194	1012	1203	1024	false	true	20
5.19.1	1484	859	1489	920	false	true	
2.1	1405	768	1491	858	false	false	
5.20	519	898	546	961	false	true	
5.20	1028	1004	1037	1014	false	true	
1.34.3	728	1008	748	1039	false	false	
