class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.10.1	2380	1	2448	197	false	true	NA
3.4	1401	945	1422	966	false	false	12 т
6.16	1531	905	1584	921	false	false	
8.5.4	1674	870	1768	915	false	false	6.00 - 22.00 без пропуска
1.34.3	1048	964	1113	980	false	false	
2.2	1210	995	1220	1005	false	false	
8.4.1	1673	818	1766	864	false	false	12 т
4.1.3	1668	720	1764	813	false	false	
5.15.7	938	947	958	968	false	false	
3.1	1084	982	1091	985	false	true	
8.3.1	1586	932	1623	950	false	true	
5.5	1579	927	1599	947	false	true	
5.7.2	375	939	384	950	false	false	
5.16	1337	972	1346	986	false	false	
2.4	375	953	385	965	false	true	
8.5.4	1401	967	1422	976	false	false	6.00 - 22.00 без пропуска
6.10.1	1855	873	2078	939	false	false	Храм новомучеников и исповедников российских
3.1	236	945	251	963	false	true	
2.2	1578	836	1628	887	false	true	
3.4	1585	890	1622	927	false	true	8 т
6.10.1	1124	979	1157	993	false	true	NA
