class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.5.4	1407	967	1425	975	false	false	6.00 - 22.00 без пропуска
5.16	1355	971	1364	984	false	false	
1.34.3	1096	964	1152	978	false	false	
5.15.7	1003	949	1020	967	false	true	
5.5	1560	937	1573	950	false	true	
6.16	1484	920	1526	932	false	false	
6.10.1	1678	549	1912	669	false	false	NA
8.5.4	1528	907	1588	936	false	false	6.00 - 22.00 без пропуска
3.4	1407	947	1426	966	false	false	12 т
8.4.1	1527	875	1588	904	false	false	12 т
4.1.3	1525	810	1586	871	false	false	
8.3.1	1526	941	1556	954	false	true	
6.10.1	1646	910	1790	953	false	true	Храм новомучеников и исповедников российских
3.1	399	948	411	963	false	true	
2.4	524	955	530	970	false	true	
5.7.2	523	943	530	950	false	false	
3.1	1118	979	1125	983	false	true	
2.2	1238	991	1247	1000	false	false	
6.10.1	1156	977	1188	991	false	true	NA
