class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.27	1314	887	1335	916	false	true	
8.24	1312	918	1339	932	false	true	
6.4	732	939	751	957	false	false	
8.23	1476	970	1537	1001	false	false	
5.31	1480	881	1533	967	false	false	40
5.15.3	1465	811	1549	878	false	false	
6.10.1	1331	950	1375	977	false	false	усадьба usadba
4.1.6	1336	915	1369	947	false	false	
5.6	1336	878	1369	912	false	false	
8.2.3	1321	934	1334	961	false	true	
3.1	46	988	62	1010	false	false	
8.8	731	959	754	971	true	false	
5.20	390	981	412	1003	false	false	
4.2.1	391	959	411	979	false	false	
