class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.1	2279	333	2395	607	false	true	
5.20	1193	947	1210	962	false	false	
3.24	1198	964	1209	981	false	true	20
1.34.3	203	959	303	1025	false	false	
5.19.2	989	965	1003	979	false	false	
5.19.1	1185	957	1192	962	false	true	
1.11.2	1292	849	1345	898	false	false	
3.24	1295	898	1340	943	false	false	30
2.4	1726	759	1739	824	false	false	
5.20	1006	958	1017	970	false	true	
5.19.1	1734	837	1746	912	false	false	
5.20	2397	140	2448	500	false	true	
5.20	964	954	973	971	false	true	
