class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.2.1	630	1000	665	1017	false	false	150 м
8.2.2	726	1003	736	1027	false	false	25 м
1.23	625	956	670	995	false	false	
5.20	767	972	785	989	false	false	
3.27	716	976	741	1002	false	false	
5.19.2	792	993	806	1007	false	false	
3.24	561	898	606	942	false	false	
8.24	564	990	608	1011	false	false	
8.2.2	574	945	596	988	false	false	15 м
1.17	624	912	667	950	false	false	
8.24	719	1028	743	1039	false	false	
1.23	43	735	174	854	false	false	
3.24	56	864	166	976	false	false	40
