class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.2.4	774	942	785	966	false	false	
3.27	767	916	789	941	false	false	
5.20	769	891	788	915	false	false	
5.19.2	165	967	211	1010	false	false	
8.2.1	1472	893	1534	924	false	false	40 м
3.24	1469	826	1532	891	false	false	20
5.15.6	389	922	404	937	false	false	
5.19.1	1347	916	1400	971	false	false	
5.20	1467	760	1531	824	false	false	
4.1.1	2165	887	2184	916	false	false	
2.4	1026	891	1035	921	false	false	
8.22.1	166	954	180	1040	false	true	
6.4	18	922	36	940	false	true	
