class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.4	1334	942	1345	953	false	true	8 т
3.4	1311	956	1320	966	false	true	12 т
6.10.1	1293	860	1356	892	false	false	NA
1.34.3	1105	967	1139	976	false	false	
6.16	1317	946	1332	953	false	true	
8.4.1	1293	936	1316	947	false	false	12 т
8.5.4	1293	948	1316	959	false	false	6.00 - 22.00 без пропуска
6.10.1	1338	949	1394	965	false	false	Храм новомучеников и исповедников российских
2.1	1330	919	1349	938	false	true	
5.5	1393	948	1401	959	false	true	
4.1.3	1292	911	1314	932	false	false	
6.10.1	1138	976	1161	985	false	true	NA
