class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.24	62	903	148	984	false	false	40
1.23	53	809	154	896	false	false	
8.24	338	998	378	1016	false	false	
8.2.2	348	958	366	996	false	false	15 м
3.24	336	917	376	955	false	false	
8.2.1	384	1008	417	1023	false	false	150 м
1.23	379	968	421	1002	false	false	
1.17	379	928	419	963	false	false	
8.24	448	1034	468	1045	false	true	
3.27	446	986	466	1009	false	true	
5.20	481	982	499	999	false	false	
5.19.2	498	1002	512	1015	false	false	
8.2.2	451	1011	461	1033	false	false	25 м
