class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.1	1278	914	1287	931	false	false	
5.19.2	1719	913	1758	971	false	true	
4.1.2	1676	866	1730	921	false	false	
2.4	1673	807	1736	865	false	false	
5.19.1	1948	910	1954	941	false	false	
5.19.2	1814	878	1819	902	false	false	
5.19.2	1429	919	1444	935	false	false	
4.4.1	1428	894	1445	912	false	false	
4.4.1	970	874	982	894	false	false	
5.19.2	425	909	444	937	false	false	
5.19.1	1011	878	1021	903	false	false	
3.1	1009	911	1023	936	false	false	
5.19.2	1178	902	1200	926	false	false	
5.19.1	1604	903	1634	930	false	true	
5.19.1	1675	923	1727	976	false	false	
5.19.2	971	902	979	921	false	false	
