class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.1	1083	937	1089	950	false	false	
3.1	1082	956	1089	971	false	false	
5.19.1	1439	949	1456	963	false	true	
5.19.2	1185	949	1197	961	false	false	
4.4.1	384	788	530	934	false	false	
5.19.2	1445	968	1466	998	false	true	
5.19.1	1415	975	1440	1000	false	false	
4.1.2	1414	950	1440	974	false	false	
2.4	1412	922	1441	947	false	false	
5.19.2	1354	951	1366	964	false	false	
4.4.1	1354	934	1367	947	false	false	
5.19.1	1619	956	1625	973	false	false	
5.19.2	1577	930	1581	945	false	false	
