8.2.5	1571	923	1598	937	false	true	600 м
5.23.1	1659	912	1703	930	false	true	Москва
3.24	1571	940	1600	969	false	true	50
8.2.1	1570	971	1596	984	false	true	400 м
5.24.1	1642	935	1726	949	false	true	Ново-Ивановское
3.24	1341	955	1352	967	false	true	50
8.22.3	1289	974	1300	1004	false	true	
8.2.1	1339	969	1351	976	false	true	400 м
4.2.3	1288	957	1303	971	false	true	
6.9.1	1221	938	1242	950	false	true	NA
4.1.1	200	920	222	944	false	true	
4.1.1	1238	962	1245	968	false	true	
1.15	1099	958	1108	967	false	true	
8	1100	969	1108	973	false	true	NA
