class	xtl	ytl	xbr	ybr	temporary	occluded	data
2.2	2340	779	2448	909	false	true	
3.1	1569	907	1581	919	false	false	
5.6	1530	831	1580	878	false	false	
4.1.2	1533	778	1580	827	false	false	
2.4	1529	724	1589	777	false	false	
5.19.2	1437	932	1445	947	false	true	
4.2.3	1395	973	1408	982	false	true	
8.22.3	1412	924	1422	964	false	true	
4.2.3	1409	904	1428	923	false	true	
3.1	1295	904	1307	916	false	false	
4.1.1	498	771	554	828	false	false	
2.1	489	690	567	768	false	false	
8.4.1	1295	917	1306	922	false	false	12 т без пропуска
8.5.4	1295	923	1306	929	false	false	6.00 - 22.00
8.1.1	1295	930	1304	936	false	false	250 м
8.4.1	1569	920	1581	926	false	false	12 т без пропуска
8.5.4	1570	927	1581	932	false	false	6.00 - 22.00
8.1.1	1569	934	1581	939	false	false	250 м
6.9.2	1628	871	1660	894	false	true	М9 Псков М3 Калуга МКАД
5.5	609	911	616	926	false	false	
5.6	1067	927	1075	936	false	false	
3.24	1067	937	1074	943	false	false	10
