5.19.2	2344	915	2362	940	false	true	
5.15.1	1856	910	1915	953	false	true	
2.4	1779	881	1788	907	false	true	
2.1	1820	796	1878	854	false	true	
6.16	1523	961	1552	970	false	true	
5.19.1	1528	940	1547	959	false	true	
5.16	1470	937	1484	957	false	true	
5.19.2	1142	944	1158	961	false	true	
5.19.1	560	974	573	998	false	true	
5.16	325	746	383	827	false	true	
4.1.5	205	1014	227	1038	false	true	
5.19.2	146	1023	162	1052	false	true	
2.1	194	968	236	1011	false	true	
3.1	138	1027	142	1043	false	true	
5.19.1	135	999	145	1020	false	true	
6.10.1	1965	881	2164	976	false	true	Марфино
