6.6	869	1010	882	1024	false	true	
5.15.1	1718	974	1728	982	false	true	
3.1	1383	985	1390	992	false	true	
5.23.1	1567	973	1617	989	false	true	Заречье
6.9.2	1529	942	1644	1014	false	true	Сколково Немчинов Заречье Московская Школа Управления Moscow School of Management
6.10.1	1617	922	1707	937	false	true	Кладбище
NA	1604	874	1719	919	false	true	Внимание ! Сквозной проезд закрыт !
6.9.2	1872	748	2020	820	false	true	Инновационный центр “Сколково” Skolkovo Innovation Center
4.2.3	1346	1005	1359	1018	false	true	
3.1	1114	1019	1126	1031	false	true	
6.10.1	1716	947	1735	957	false	true	Заречье МКАД 0.3
6.6	1645	1003	1656	1016	false	true	
8.22.3	1348	1020	1358	1054	false	true	
5.16	1021	1000	1027	1008	false	true	
