3.1	1837	1008	1852	1024	false	true	
2.4	374	1022	387	1037	false	true	
8.2.2	1071	1055	1078	1071	false	true	70 м
5.7.2	369	1010	393	1019	false	true	
3.27	1067	1039	1082	1054	false	true	
3.10	1068	1024	1082	1038	false	true	
6.10.1	1317	1009	1400	1048	false	true	NA
6.16	1427	1025	1454	1034	false	true	
6.10.1	1485	1031	1552	1044	false	true	Храм новомучеников и исповедников российских
6.10.1	1485	1013	1551	1027	false	true	Заречье
8.2.6	1446	983	1468	992	false	true	50 м
3.27	1297	1015	1310	1030	false	true	
3.4	1447	959	1467	979	false	true	8т
6.9.1	1560	821	1681	880	false	true	Заречье МКАД 0.3
8.2.2	1300	1032	1308	1046	false	true	70 м
3.4	1145	1027	1154	1035	false	true	8т
3.24	1163	1027	1171	1035	false	true	40
5.15.5	762	1044	772	1054	false	true	
8.1.1	1247	1068	1259	1077	false	true	20 м
