5.16	1528	972	1540	990	false	true	
3.1	539	985	547	993	false	true	
5.19.2	1720	949	1732	974	false	true	
2.1	1663	921	1705	962	false	true	
8	1550	953	1572	966	false	true	12 т
8	1551	969	1571	981	false	true	6:00 - 22:00
6.9.1	1389	878	1475	929	false	true	Москва М9 Псков МКАД-Север М3 Калуга Внуково МКАД-Юг 200 м
6.9.1	1172	927	1228	954	false	true	Кутузовский пр-т 3-е Кольцо Вяземская ул. Витебская ул. Рябиновская ул. 500 м
3.1	440	968	453	982	false	true	
3.1	1551	927	1572	951	false	true	
6.9.2	1328	969	1342	989	false	true	М3 Калуга Внуково МКАД-Юг
5.20	169	981	178	996	false	true	
