2.1	1650	934	1662	948	false	true	
2.4	1639	939	1648	947	false	true	
4.1.4	1653	951	1663	960	false	true	
5.15.5	1704	925	1723	944	false	true	
8	1667	960	1682	967	false	true	Пропан
6.9.1	1484	871	1529	895	false	true	МКАД Сколковское ш. 0.6 Ленинский пр-т 8.3
4.1.1	2328	664	2448	823	false	true	
2.4	2304	471	2448	643	false	true	
7.3	1670	938	1682	958	false	true	
3.24	1695	938	1707	951	false	true	40
4.1.1	1640	950	1648	956	false	true	
4.1.1	1500	943	1507	950	false	true	
2.1	1498	931	1508	940	false	true	
