class	xtl	ytl	xbr	ybr	temporary	occluded	data
4.1.1	1302	992	1317	1006	false	false	
2.1	1300	970	1317	988	false	false	
3.24	1284	1005	1294	1015	false	false	100
5.3	1283	985	1294	1003	false	false	
4.2.3	1345	1026	1363	1043	false	false	
8.22.3	1344	982	1355	1020	false	false	
4.2.3	1339	955	1357	974	false	false	
2.4	1402	982	1412	991	false	false	
4.1.2	1404	995	1411	1004	false	false	
5.4	1542	973	1561	1004	false	false	
6.10.2	1535	884	1645	923	false	false	53
6.10.1	1262	738	1389	800	false	false	Сколково
