class	xtl	ytl	xbr	ybr	temporary	occluded	data
8.22.3	1726	962	1744	1044	false	true	
6.9.2	1565	947	1598	963	false	true	Можайское ш. МКАД - Север МКАД - Юг
1.25	1553	1023	1595	1061	false	true	
3.24	1529	1015	1567	1054	true	true	40
1.20.2	1492	1023	1540	1065	true	true	
4.2.2	1471	1025	1506	1061	false	true	
3.1	204	803	256	866	false	true	
4.1.4	2027	890	2089	950	false	true	
2.1	2022	798	2107	881	false	true	
4.2.3	1720	926	1750	956	false	true	
4.2.3	1385	985	1393	996	false	true	
8.22.3	1385	998	1392	1018	false	true	
3.24	1659	978	1668	988	false	true	40
