5.5	1804	1019	1813	1029	false	true	
6.9.2	1677	977	1750	1025	false	true	Сколково Немчинов Заречье Московская Школа Управления Moscow School of Management
5.23.1	1676	997	1712	1008	false	true	Заречье
6.10.1	1684	967	1741	977	false	true	Кладбище
6.9.1	1668	1	2298	30	false	true	Сколково Заречье МКАД 0.6
NA	1676	937	1749	965	false	true	Внимание ! Сквозной проезд закрыт !
6.9.2	1753	886	1831	925	false	true	Инновационный центр “Сколково” Skolkovo Innovation Center
8.22.3	1557	1034	1565	1062	false	true	
4.2.3	1556	1021	1566	1031	false	true	
5.16	1294	1015	1300	1024	false	true	
3.1	1372	1031	1381	1042	false	true	
6.10.1	1914	968	1931	976	false	true	Заречье МКАД 0.3
