6.9.2	1339	962	1362	983	false	true	М3 Калуга Внуково МКАД-Юг
5.19.2	1850	929	1866	959	false	true	
2.1	1817	886	1871	940	false	true	
8	1623	954	1648	969	false	true	6:00 - 22:00
3.1	504	974	512	983	false	true	
6.9.1	1183	915	1242	944	false	true	Кутузовский пр-т 3-е Кольцо Вяземская ул. Витебская ул. Рябиновская ул. 500 м
3.1	367	954	381	969	false	true	
8	1622	936	1648	952	false	true	12 т
3.1	1623	905	1647	935	false	true	
5.16	1578	962	1590	982	false	true	
6.9.1	1418	860	1512	915	false	true	Москва М9 Псков МКАД-Север М3 Калуга Внуково МКАД-Юг 200 м
5.20	44	967	54	985	false	true	
