class	xtl	ytl	xbr	ybr	temporary	occluded	data
3.1	2181	857	2195	881	false	true	
2.1	1406	811	1421	863	false	true	
4.1.1	1413	866	1421	906	false	true	
4.1.2	2025	685	2093	749	false	true	
2.4	2019	603	2103	673	false	true	
1.34.1	1082	970	1120	1007	false	true	
1.34.1	870	977	920	1017	false	true	
1.34.1	1326	966	1353	994	false	true	
6.10.1	722	781	794	819	false	true	NA
8.22.3	1735	931	1742	950	false	true	
4.2.3	1736	923	1742	929	false	true	
5.15.1	2008	861	2034	870	false	true	
1.34.1	2312	959	2322	970	false	true	
