class	xtl	ytl	xbr	ybr	temporary	occluded	data
2.1	1599	1003	1608	1012	false	false	
5.7.1	1700	970	1708	975	false	true	
5.19.2	1659	976	1672	990	false	false	
5.15.3	2041	770	2133	859	false	false	
2.4	1700	980	1709	991	false	true	
5.19.1	1700	997	1708	1008	false	true	
5.15.4	1615	997	1623	1006	false	false	
3.27	1523	1016	1528	1022	false	false	
6.9.2	1441	983	1477	1000	false	false	Москва, Инновационный центр "Сколково" Skolkovo innovation center
6.9.2	1121	814	1195	872	false	true	М9 Псков М3 Калуга МКАД
