5.6	1912	752	1991	829	false	true	
4.1.2	1914	670	1992	747	false	true	
4.2.3	1608	900	1631	923	false	true	
3.1	1469	910	1482	921	false	true	
4.1.1	234	662	319	760	false	true	
2.1	216	527	338	660	false	true	
2.4	1905	583	2005	667	false	true	
3.1	1776	908	1780	920	false	true	
8.22.3	1612	925	1625	970	false	true	
5.19.2	1646	932	1657	951	false	true	
4.2.3	1594	980	1610	992	false	true	
2.1	1849	932	1858	941	false	true	
NA	1830	934	1841	947	false	true	50 м
7.5	1859	939	1867	945	false	true	5 м
8	1470	922	1481	928	false	true	12 т без пропуска
8	1470	929	1481	935	false	true	6.00 - 22.00
8.1.1	1470	936	1479	942	false	true	250 м
6.9.2	1817	871	1851	895	false	true	М9 Псков М3 Калуга МКАД
6.9.1	1917	913	1932	923	false	true	NA
5.5	724	926	732	941	false	true	
5.6	1226	936	1234	946	false	true	
3.24	1226	947	1234	954	false	true	10
