class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.9.2	1165	935	1195	964	false	true	Заречье МКАД
6.9.1	1213	934	1268	966	false	true	Сколковское ш. Сколково 100 м
6.9.2	1075	936	1149	966	false	true	Внуково М3 Калуга Ленинский пр-т МКАД МКАД
4.1.1	1313	981	1327	993	false	true	
2.1	1313	961	1329	978	false	true	
6.7	1480	971	1498	989	false	true	
5.16	1480	943	1497	968	false	true	
1.34.2	2021	948	2084	959	false	true	
4.2.2	2024	929	2041	945	false	true	
1.12.1	2063	906	2090	929	false	true	
3.24	1814	769	1872	828	false	true	100
