class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.19.1	2126	778	2180	832	false	false	
2.1	2119	698	2192	768	false	false	
5.5	1265	968	1274	977	false	false	
8.3.1	1314	985	1327	992	false	false	
3.27	1380	940	1398	957	false	false	
5.5	1381	921	1396	937	false	false	
5.19.1	1432	929	1452	949	false	false	
5.19.1	2023	870	2034	911	false	true	
5.19.1	1644	368	1700	424	false	false	
5.19.1	1241	743	1263	764	false	false	
5.19.2	1357	565	1402	611	false	false	
3.27	1040	939	1058	953	false	true	
5.19.2	1039	914	1057	934	false	false	
5.19.2	949	786	991	827	false	false	
8.1.1	429	842	508	881	false	false	25 м
1.22	422	751	514	835	false	false	
5.15.1	216	964	236	986	false	true	
6.4	1314	970	1326	983	false	false	
7.7	1332	969	1342	987	false	true	
7.3	1331	945	1344	967	false	true	
8.5.2	1344	981	1353	988	false	true	
5.14	1343	964	1355	980	false	false	
1.34.2	370	927	426	973	false	false	
8.24	1381	959	1398	967	false	false	
4.2.2	1631	995	1641	1004	false	false	
5.19.1	1968	569	1975	607	false	false	
3.1	234	700	243	728	false	false	
3.1	286	717	294	744	false	false	
3.1	340	734	347	756	false	false	
