class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.5	1332	901	1350	920	false	false	
8.5.2	1333	921	1350	930	false	false	
7.7	1316	906	1331	930	false	true	
8.3.1	1293	929	1309	936	false	false	
6.4	1293	912	1308	927	false	false	
8.24	1388	891	1408	900	false	false	
5.5	1387	842	1408	864	false	false	
5.19.1	1469	847	1496	874	false	false	
5.19.2	1507	0	1605	24	false	true	
5.19.2	553	434	654	532	false	false	
8.24	937	890	962	903	false	false	
5.19.2	937	830	961	854	false	false	
3.27	1387	866	1408	888	false	false	
7.3	1315	878	1331	903	false	false	
5.19.1	1208	591	1238	620	false	false	
3.27	937	864	962	889	false	false	
5.15.1	752	866	773	898	false	false	
2.5	931	935	939	948	false	false	
