class	xtl	ytl	xbr	ybr	temporary	occluded	data
5.6	1218	959	1227	969	false	true	
5.20	1301	900	1321	922	false	true	
3.24	1299	926	1323	952	false	true	20
5.32	1231	955	1240	970	false	true	40
5.16	1247	948	1257	967	false	true	
8.2.1	1300	954	1324	965	false	true	20 м
5.19.1	1285	928	1303	952	false	true	
3.27	1435	809	1491	865	false	false	
1.17	1781	675	1922	804	false	false	
5.19.2	959	945	979	966	false	false	
5.20	925	922	950	946	false	false	
8.2.1	927	976	952	987	false	false	20 м
3.24	925	948	952	975	false	false	20
3.27	707	899	753	946	false	false	
5.19.2	120	936	141	957	false	true	
