class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.10.1	1118	949	1164	964	false	false	NA
6.10.1	1177	947	1222	962	false	false	NA
6.10.1	1241	945	1287	962	false	false	NA
3.25	1350	986	1364	999	false	false	80
2.1	1350	963	1365	980	false	false	
6.10.1	1481	874	1555	910	false	false	NA
3.27	1914	846	1975	906	false	false	
5.5	1914	777	1974	834	false	false	
6.10.1	2053	531	2448	716	false	true	NA
4.1.4	1488	847	1513	872	false	false	
5.5	1318	989	1327	999	false	false	
3.13	1318	1000	1328	1010	false	false	4,5 м
3.27	1318	1011	1328	1021	false	false	
