class	xtl	ytl	xbr	ybr	temporary	occluded	data
6.9.1	1377	944	1414	965	false	true	NA
6.10.1	1355	971	1378	981	false	true	NA
1.34.2	1250	994	1272	1009	false	true	
1.25	1239	972	1257	993	true	true	
4.2.3	1237	947	1262	975	false	true	
1.20.2	1261	972	1280	995	true	false	
6.9.1	1323	835	1423	885	false	true	NA
6.10.1	1442	937	1450	948	false	true	NA
4.2.1	1186	957	1209	980	false	true	
1.25	1169	979	1184	994	true	false	
3.27	1429	940	1448	960	false	false	
8.24	1428	962	1447	971	false	false	
8.2.4	1435	972	1444	988	false	false	
